Items,Price,Time Waiting,Custumer Service,Weather,Cashier Mood,Mood,Good Enviroment,Payment Method,Cashier Gender,Hungry?,Satisfaction
Fish,150.0,0,0,0,0,0,0,0,0,0,0
Sunglasses,130.0,0,1,0,1,0,1,1,0,1,0
Fish,195.0,1,0,0,0,0,0,0,1,0,0
Baseball Cap,120.0,0,0,0,0,0,1,1,0,1,0
Jacket,130.0,1,1,0,1,0,1,0,1,1,1
Sneakers,2340.0,1,0,0,0,0,0,0,1,0,0
Eggs,90.0,1,0,0,0,0,1,1,0,1,1
Smartphone,20000.0,0,0,0,0,0,1,0,1,0,0
Pasta,230.0,1,0,0,0,0,0,1,0,0,0
Curtains,1950.0,1,0,0,0,0,1,1,1,1,0
Book,910.0,0,1,0,1,0,0,0,1,1,0
Boots,2000.0,0,0,0,0,0,0,1,1,0,0
Table,3400.0,0,0,0,0,0,1,1,0,0,0
Yogurt,150.0,0,0,0,0,0,0,1,1,1,0
Jeans,150.0,1,0,0,0,0,1,0,0,0,1
Video Game,1100.0,1,0,0,0,0,1,1,1,0,1
Fish,195.0,0,0,1,0,1,1,1,1,0,0
Apple,30.0,1,0,0,0,0,1,1,1,0,1
Baseball Cap,156.0,0,0,0,0,0,1,0,0,0,0
Pasta,230.0,0,0,0,0,0,1,1,0,0,0
Sneakers,2340.0,1,0,0,0,0,0,1,0,1,0
Cheese,160.0,1,1,1,1,1,0,1,1,0,1
Socks,55.0,0,1,1,1,1,1,1,0,0,1
Blender,2100.0,0,0,1,0,1,1,1,0,0,1
Mug,100.0,1,0,0,0,0,1,1,0,1,1
Table,3400.0,1,1,0,1,0,1,1,0,1,1
Table,3400.0,0,0,0,0,0,1,0,0,0,0
Rice,221.0,0,0,0,0,0,0,1,0,0,0
Towel,180.0,0,0,0,0,0,0,1,1,0,0
Belt,130.0,1,0,0,0,0,1,1,0,0,0
Shampoo,250.0,1,0,0,0,0,1,0,1,0,1
Pencil,35.0,1,0,0,0,0,1,1,1,0,1
Milk,110.0,1,0,0,0,0,0,0,0,0,0
Bedding Set,2800.0,0,0,0,0,0,0,0,0,0,0
Plate,260.0,0,1,0,1,0,0,1,0,0,0
Jacket,130.0,1,1,0,1,0,1,1,0,0,1
Bread,80.0,1,0,0,0,0,1,1,0,1,1
Video Game,1100.0,0,0,0,0,0,0,1,1,1,0
Yogurt,150.0,1,0,0,0,0,1,1,1,0,1
Frying Pan,1200.0,0,0,0,0,0,1,0,1,0,0
Belt,130.0,1,0,1,0,1,1,1,1,0,0
Tacos,150.0,0,0,0,0,0,1,0,1,0,0
Sunglasses,130.0,1,0,0,0,0,1,1,0,0,1
Lamp,1170.0,1,0,1,0,1,1,1,1,0,0
Rice,221.0,0,0,0,0,0,1,1,1,0,0
Blender,2100.0,1,0,0,0,0,1,1,0,0,1
Ruler,100.0,1,0,0,0,0,1,1,0,1,1
Notebook,70.0,0,0,1,0,1,0,1,1,0,0
Cheese,160.0,1,0,0,0,0,0,1,0,0,0
Smartphone,26000.0,1,0,0,0,0,0,1,1,1,0
Frying Pan,1200.0,0,0,0,0,0,1,1,0,0,0
Baseball Cap,120.0,0,0,0,0,0,1,1,1,0,0
Burger,325.0,1,0,0,0,0,1,0,0,0,0
Tacos,150.0,1,1,0,1,0,1,1,1,0,1
Pencil,35.0,1,0,1,0,1,1,0,1,1,1
Notebook,70.0,1,1,0,1,0,0,1,1,0,1
Notebook,70.0,0,0,0,0,0,0,1,1,0,0
Headphones,2000.0,1,0,0,0,0,0,0,0,0,0
Burger,250.0,0,0,0,0,0,1,0,1,0,0
Burger,250.0,0,0,0,0,0,1,1,0,0,0
Jeans,195.0,0,0,0,0,0,0,1,0,0,0
Pen,30.0,1,0,0,0,0,1,1,1,0,1
Eggs,90.0,0,1,0,1,0,1,0,0,1,0
Laptop,32500.0,0,1,0,1,0,1,1,1,0,0
Jeans,195.0,0,0,0,0,0,1,1,1,1,0
